RU_S1,RU_S2,RU_S3,LAT_S1,LAT_S2,LAT_S3,TP_S1,TP_S2,TP_S3,QoS_S1,QoS_S2,QoS_S3,EnergyEfficiency,SEC_NEW_S1,SEC_NEW_S2,SEC_NEW_S3,PL_S1,PL_S2,PL_S3
0.0,0.0,0.0,0.7748059229993275,0.5778086690863059,0.17422141023966622,0.0,0.0,0.12001598266016719,0.0,0.0,1.0,0.0,0.10323691553274311,0.6283160332910408,1.0,0.8967630844672568,0.3716839667089589,0.0
0.014817731492107022,0.01104540310882679,0.010805362796380669,0.9353064401704448,0.9658088852369101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012812523257834219,0.02456847009604546,0.030442123838411828,0.0,0.9754315299039544,0.9695578761615881,1.0
0.029488756620261625,0.020825871441513766,0.015395049759807322,0.9262285977666125,0.85633809506266,0.42711633977244096,0.0,0.0,0.04573711342020467,0.0,0.0,1.0,0.038270893132721806,0.028290514217794438,0.14426110035594297,1.0,0.9717094857822055,0.8557388996440567,0.0
0.03895834818003541,0.03097990623307928,0.022240975766551374,0.6020392041939838,0.8886978519916107,0.6358032280830996,0.0,0.0,0.0,0.0,0.0,0.0,0.052751821360136564,0.2347937360843258,0.10769667605735467,0.778580859672442,0.7652062639156741,0.8923033239426451,0.22141914032755794
0.039597332622722914,0.03828441104713792,0.03144338717436834,0.04111063093412881,0.6412163141193261,0.8528672472170611,0.0643661201467569,0.0,0.0,1.0,0.0,0.0,0.044885939398215946,1.0,0.4811505736930276,0.23448673714080348,0.0,0.5188494263069724,0.7655132628591967
0.055462259809341274,0.04049700859586097,0.04054350532875173,1.0,0.19527175171086142,0.8434635968557121,0.0,0.0771492921688452,0.0,0.0,1.0,0.0,0.04722828257473388,0.0,0.9999999999999999,0.2522547578875365,1.0,0.0,0.7477452421124638
0.061916356088096425,0.05193818111939724,0.04324587504794053,0.4119952644020065,1.0,0.2519058481266415,0.0,0.0,0.1045839117673533,0.0,0.0,1.0,0.0705371834169064,0.5069435344145987,0.0,1.0,0.4930564655854011,0.9999999999999999,0.0
0.07387044121503683,0.059511115842296236,0.047291832703713954,0.7574586171817536,0.6645928118290556,0.37669931169514353,0.0,0.0,0.06479590474011016,0.0,0.0,1.0,0.09080906464847516,0.11373599398434947,0.43397989484472344,1.0,0.8862640060156505,0.5660201051552765,0.0
0.07912739329432877,0.06831073741233212,0.050409798859514354,0.3361177739053076,0.7712521952675683,0.2905387181075886,0.0,0.0,0.09330725359492903,0.0,0.0,1.0,0.10700856043860751,0.7015692601819876,0.2550429985696475,1.0,0.2984307398180124,0.7449570014303524,0.0
0.08748179543922996,0.07629000139717862,0.052802218559677816,0.5319376247802142,0.6999533015194166,0.2230749679833942,0.0,0.0,0.11584201989464832,0.0,0.0,1.0,0.12793240683883855,0.31254604756888876,0.3686147167485915,1.0,0.6874539524311112,0.6313852832514085,0.0
0.10227817190413091,0.08284377792327019,0.059783660751070666,0.9339852654632712,0.5757682001945079,0.6483108385902624,0.0,0.0,0.0,0.0,0.0,0.0,0.1435044590537462,0.02510567168686506,0.6335901669752934,0.7373370572916031,0.9748943283131349,0.36640983302470664,0.2626629427083969
0.11279389667494688,0.08853688164481649,0.06933429644556643,0.667608087847251,0.5006078336089488,0.8848660708422427,0.0,0.0,0.0,0.0,0.0,0.0,0.1448273647883216,0.17684787565054944,0.8578215819610714,0.17685451133393104,0.8231521243494505,0.14217841803892858,0.823145488666069
0.12418536364251803,0.0937903615737436,0.06933429644556643,0.7223549465328968,0.46216404207419387,0.0,0.0,5.6704724004315665e-05,0.1946940807683543,0.0,1.0,1.0,0.17184142816156767,0.13652440050992987,0.9999999999999999,1.0,0.86347559949007,0.0,0.0
0.1371493930154371,0.09427280786449782,0.07857437292723157,0.8203387484474962,0.042655624475847545,0.8563293031798815,0.0,0.1357643831822837,0.0,0.0,1.0,0.0,0.16771228830171658,0.07779150679952823,0.9999999999999999,0.22804352840329845,0.9222084932004717,0.0,0.7719564715967017
0.15043694698404247,0.09878215617945268,0.08469824475186871,0.8404454436002934,0.3970108335619058,0.5691094643596425,0.0,0.021334826975135883,0.0024389013359195303,0.0,1.0,1.0,0.18056350679612354,0.0674327191721521,0.9999999999999999,1.0,0.9325672808278478,0.0,0.0
0.1564516291569477,0.10371782372864452,0.08938695162838217,0.38417279588863257,0.4343501355848845,0.4362926485557545,0.0,0.00923612573263072,0.048977410868983856,0.0,1.0,1.0,0.1869864381028199,0.569381366576533,0.9999999999999999,1.0,0.43061863342346696,0.0,0.0
0.15720938907483067,0.11047319067844247,0.09249758627837179,0.048744520978946645,0.5933529088318307,0.289857446693468,0.08539413964175192,0.0,0.10082314016719919,1.0,0.0,1.0,0.19302444327785961,1.0,0.5893285464796422,1.0,0.0,0.41067145352035767,0.0
0.15996826180191032,0.11466374392068218,0.09820119219237577,0.17699151471613522,0.36906716681574187,0.5302513140493657,0.03431920082841246,0.03149593554332561,0.01632383081412879,1.0,1.0,1.0,0.19019101026097607,1.0,0.9999999999999999,1.0,0.0,0.0,0.0
0.16898746892029487,0.11660882770707953,0.10157528812146954,0.5737531562087492,0.17171074740571546,0.3143336784867542,0.0,0.098541257159792,0.09370823293849725,0.0,1.0,1.0,0.1990580238775883,0.2638803657849396,0.9999999999999999,1.0,0.7361196342150603,0.0,0.0
